epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.19346,0.88501,0.56363,1.45672,0.94777,0.98304,0.995,0.85077,0.7168,0.42649,1.372,0,0,0
2,6.48477,1.03828,0.99883,1.45083,0.96865,0.95993,0.995,0.85077,0.71674,0.43415,1.37195,5.20793e-06,5.20793e-06,5.20793e-06
3,8.51633,0.56124,0.68316,1.18402,0.97815,0.94856,0.995,0.85077,0.71837,0.43446,1.36935,1.03117e-05,1.03117e-05,1.03117e-05
4,10.7494,0.94032,1.14468,1.49389,0.9768,0.94712,0.995,0.8391,0.71681,0.43501,1.3722,1.53113e-05,1.53113e-05,1.53113e-05
5,12.8876,0.88149,0.60683,1.63572,0.97497,0.94861,0.995,0.83921,0.71683,0.43592,1.37744,2.02068e-05,2.02068e-05,2.02068e-05
6,15.0568,1.00709,0.7136,1.73999,0.93938,0.91667,0.97833,0.82754,0.71963,0.44261,1.37464,2.49982e-05,2.49982e-05,2.49982e-05
7,17.5243,0.86161,0.74073,1.25936,0.93497,0.91667,0.97833,0.82754,0.71662,0.44643,1.3723,2.96853e-05,2.96853e-05,2.96853e-05
8,19.7982,0.74222,0.76394,1.42173,0.93296,0.91667,0.97833,0.82781,0.71502,0.45019,1.36936,3.42684e-05,3.42684e-05,3.42684e-05
9,23.4121,1.03445,1.33563,1.28625,0.93131,0.91667,0.97833,0.82767,0.71576,0.45673,1.36184,3.87473e-05,3.87473e-05,3.87473e-05
10,26.3108,0.89623,0.62071,1.4183,0.96062,0.95081,0.995,0.83948,0.71397,0.47271,1.35455,4.3122e-05,4.3122e-05,4.3122e-05
11,28.8328,0.77581,0.52241,1.43825,0.95877,0.9495,0.995,0.83964,0.71289,0.48152,1.35241,4.73926e-05,4.73926e-05,4.73926e-05
12,31.5961,0.73932,0.58477,1.56231,0.95609,0.94999,0.995,0.83983,0.71008,0.49078,1.35226,5.1559e-05,5.1559e-05,5.1559e-05
13,35.1967,1.22322,0.77054,1.05397,0.95415,0.95006,0.995,0.85254,0.7085,0.49602,1.34588,5.56213e-05,5.56213e-05,5.56213e-05
14,37.8687,0.87953,0.51994,1.5153,0.95273,0.95038,0.995,0.85254,0.70788,0.50136,1.34524,5.95795e-05,5.95795e-05,5.95795e-05
15,41.0338,0.91037,0.60307,1.26124,0.94969,0.95175,0.995,0.85254,0.70204,0.50505,1.34552,6.34335e-05,6.34335e-05,6.34335e-05
16,43.2628,0.79706,0.56833,1.22105,0.94487,0.95384,0.995,0.84569,0.70059,0.51993,1.34435,6.71834e-05,6.71834e-05,6.71834e-05
17,45.561,0.74274,0.58969,1.26403,0.93547,0.96046,0.995,0.84534,0.70021,0.53674,1.34733,7.08291e-05,7.08291e-05,7.08291e-05
18,48.1508,0.81884,0.55257,1.20661,0.93547,0.96046,0.995,0.84534,0.70021,0.53674,1.34733,7.43706e-05,7.43706e-05,7.43706e-05
19,50.9669,1.05714,0.69715,1.19493,0.92229,0.96624,0.995,0.84516,0.69855,0.57516,1.34509,7.7808e-05,7.7808e-05,7.7808e-05
20,53.2368,0.7861,0.5758,1.39221,0.92229,0.96624,0.995,0.84516,0.69855,0.57516,1.34509,8.11413e-05,8.11413e-05,8.11413e-05
21,55.4278,0.74858,0.57769,1.39776,0.84717,0.91667,0.96722,0.82392,0.70659,0.617,1.35603,8.43704e-05,8.43704e-05,8.43704e-05
22,57.9249,0.91384,0.69515,1.60464,0.84717,0.91667,0.96722,0.82392,0.70659,0.617,1.35603,8.74954e-05,8.74954e-05,8.74954e-05
23,60.2651,0.87987,0.57783,1.50992,0.82949,0.91667,0.95333,0.81512,0.71725,0.65388,1.36222,9.05162e-05,9.05162e-05,9.05162e-05
24,62.5969,0.84019,0.61341,1.20543,0.82949,0.91667,0.95333,0.81512,0.71725,0.65388,1.36222,9.34329e-05,9.34329e-05,9.34329e-05
25,64.8657,0.81712,0.54823,1.19776,0.82268,0.91667,0.95333,0.81533,0.73007,0.68941,1.3658,9.62454e-05,9.62454e-05,9.62454e-05
26,67.3068,0.7345,0.51481,1.1531,0.82268,0.91667,0.95333,0.81533,0.73007,0.68941,1.3658,9.89537e-05,9.89537e-05,9.89537e-05
27,69.4838,0.87005,0.65291,1.24418,0.79134,0.91667,0.95333,0.81533,0.74339,0.76503,1.3816,0.000101558,0.000101558,0.000101558
